,學校,地區,等級,間/進,總計,,,因傷病,,因經濟困難,,因學業成績不佳,,因志趣不合,,因工作需求,,因懷孕,因育嬰,,因兵役,,因出國,,因論文撰寫,,因適應不良,,因家人傷病,,因考試訓練,,因逾期未註冊、繳費、選課,,其他,,
,,,四技,修,48,22,26,2,6,4,5,2,1,5,4,5,7, -, -,1,3, -, -, -, -, -, -,2, -, -,1, -, -, -, -, -,技職
,,,二技,修,11,3,8, -,2, -,3,2,1, -, -,1,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,16,9,7, -, -,1,3,3, -, -,1,3,2,1, -, -,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1055,中華醫事科技大學,臺南市,碩士,,46,13,33,2,1,1, -, -, -, -, -,1,15, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,6,10,3,6,技職
,,,碩士,職,2, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2, -, -,技職
,,,四技,,266,124,142,3,12,11,7, -, -,12,20,9,5,2, -, -,2, -, -, -, -, -,1,1, -,1, -, -,71,63,15,31,技職
,,,四技,修,122,57,65, -,4,4,5, -, -, -,1,10,16,1, -,2,1, -, -, -, -, -, -, -, -, -, -, -,40,34,2,2,技職
,,,二技,,51,17,34, -,2,1,4, -, -,2,2,4,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,4,16,6,8,技職
,,,二技,修,111,36,75, -,2,2,10, -, -,1,3,5,19,2, -,1,1, -, -, -, -, -, -, -, -, -, -, -,27,38, -, -,技職
,,,二專,,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,技職
,,,二專,修,13,8,5, -, -, -, -, -, -, -, -,4,5, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,3, -, -, -,技職
,,,五專,,177,51,126,2,5,2,6, -, -,12,25,5,14,1, -,1, -, -, -, -, -, -, -,1, -, -, -, -,19,44,11,29,技職
1056,東南科技大學,新北市,碩士,,34,27,7, -, -, -, -, -, -, -, -,7,1,1, -,1,2, -, -, -, -, -, -, -,2, -, -, -,16,4, -, -,技職
,,,碩士,職,16,14,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,13,2, -, -,技職
,,,四技,,373,257,116,6,6,18,6,2,1,11,9,71,38,1, -, -,9, -, -,1, -, -,14,5,7,7, -, -,118,41,1,1,技職
,,,四技,修,143,103,40, -, -, -, -, -, -, -,1,3, -, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -,99,38, -, -,技職
1057,德明財經科技大學,臺北市,碩士,,11,8,3, -, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -,5,3, -, -,技職
,,,碩士,職,6,4,2, -, -, -, -, -, -, -, -,1, -,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -,3, -, -, -,技職
,,,四技,,463,269,194,17,14,9,3,38,17,48,30,35,19,5, -,2,5, -,3,1, -, -,4,4,9,7,15,23,86,69, -, -,技職
,,,四技,修,67,31,36,1,4, -, -,4, -,1,3,5,7,2, -,2, -, -,1, -, -, -, -, -,2,2, -, -,17,16, -, -,技職
,,,二技,,4, -,4, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,3, -, -,技職
,,,二技,修,11,6,5, -, -, -, -, -, -, -, -,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,4,3, -, -,技職
1058,明道大學,彰化縣,博士,,4,3,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,1, -, -, -, -, -,1,1, -, -, -, -, -, -,一般
,,,碩士,,39,16,23,1,4,1, -, -, -, -, -,6,14, -, -,1, -, -, -, -,6,3, -, -,1,1, -, -, -, -,1, -,一般
,,,碩士,職,15,6,9,2,3, -, -, -, -, -, -,3,2,1, -,1,1, -, -, -, -,1, -, -, -,1, -, -, -, -, -, -,一般
,,,學士,,67,42,25,5,5,4,3, -,1,6,4,10,7,1, -, -,10, -, -, -, -, -, -, -,1, -, -, -,2, -,4,4,一般
,,,學士,進,29,19,10,1,2, -,1, -, -,2,1,9,3, -, -, -,2, -, -, -, -, -, -, -, -,1, -, -, -,1,5,1,一般
1060,南開科技大學,南投縣,碩士,,16,11,5, -, -,1, -, -, -, -, -,8,4, -, -, -, -, -, -, -,2, -, -, -, -,1, -, -, -, -, -, -,技職
,,,碩士,職,21,6,15, -,2,1, -, -, -,1, -,1,10, -, -, -, -, -, -, -,2,2, -, -, -,1, -, -, -, -,1, -,技職
,,,四技,,47,36,11,1, -,4,1,2, -,3,1,13,5, -, -, -,6, -, -,1, -, -,2,1, -, -, -,1,1, -,4,1,技職
,,,四技,修,29,21,8,1,1,1,1, -, -, -, -,11,5,1, -, -,6, -, -, -, -, -, -, -,1, -, -, -, -, -,1, -,技職
,,,二技,修,5,3,2,1, -, -, -, -, -, -, -, -,2, -, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,6,4,2, -, -, -, -, -, -, -,1,3,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,技職
,,,五專,,22,18,4, -,2,1, -,1, -,3, -,6,1, -, -, -,3, -, -, -, -, -,3, -, -, -,1, -, -, -, -,1,技職
1061,中華科技大學,臺北市,碩士,,67,54,13,1,1,3,2, -, -,1, -,18,3,1, -, -,2, -,1, -, -, -, -, -, -, -, -, -,25,4,3,2,技職
,,,碩士,職,20,19,1, -, -, -, -, -, -, -, -,6, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -,11,1,1, -,技職
,,,四技,,383,260,123,4,10,17,4,2,1,10,4,57,36,1, -, -,53, -, -,2, -, -, -, -,3, -, -, -,102,51,12,14,技職
,,,四技,修,109,93,16,2, -,1,1, -, -,6,1,18,6, -, -, -,13, -, -, -, -, -, -, -, -, -, -, -,50,7,3,1,技職
,,,二技,,4,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,2,1, -,技職
,,,二技,修,20,12,8,1, -, -, -, -, -, -, -,4,1, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,6,7, -, -,技職
,,,二專,修,51,35,16, -, -, -, -, -, -, -,1,2,3, -, -, -,7, -, -, -, -, -, -, -, -, -, -, -,26,12, -, -,技職
1062,僑光科技大學,臺中市,碩士,,7,1,6, -,2, -, -, -, -, -, -, -,4, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,職,3,1,2, -, -, -, -, -, -, -, -,1,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,141,67,74,7,11,2,10,3,1,15,16,23,20,5, -, -,6,1,2,1, -, -,4,5,1,1,4,2, -,1, -, -,技職
,,,四技,修,125,71,54,4,1,3,7,1, -,5,7,31,30,3, -,3,18,1,1, -, -, -,2, -,2, -,2, -,1,2,1, -,技職
1063,育達科技大學,苗栗縣,碩士,,17,14,3, -,1,1, -, -, -, -, -,5, -, -, -, -,4, -, -,1,3,1, -, -,1, -, -, -, -, -, -, -,技職
,,,碩士,職,32,19,13, -,1, -,1, -, -, -, -,8,3,1, -,1, -, -, -, -,5,2, -, -,1,2, -, -, -, -,5,2,技職
,,,四技,,80,43,37,3,6,10,7,3,2,9,3,9,5,6, -,1,4, -, -, -, -, -,1,2,2,5,1, -,1, -, -, -,技職
,,,四技,修,99,62,37,2, -,7,6,2, -,2,3,32,18,3, -,2,6, -, -, -, -, -, -, -,5,2, -, -, -, -,6,3,技職
,,,二技,修,64,19,45,1,3,1,2, -, -,1,1,8,14,3, -,1,2, -, -, -, -, -, -,2, -,7, -, -, -, -,6,12,技職
1064,美和科技大學,屏東縣,碩士,,50,17,33,1,5,1,1, -, -, -, -,7,12,1, -,1,3, -,1, -,3,12, -, -, -,1,1, -, -, -, -, -,技職
,,,碩士,職,34,11,23,1,1, -,1, -, -, -, -,5,7,2, -, -, -, -, -, -,1,10, -, -, -,1, -, -,4,1, -, -,技職
,,,四技,,143,72,71,4,9,6,9, -, -,15,22,18,14,3, -,3,13, -, -, -, -, -,4,8,2,2, -, -,10,1, -, -,技職
,,,四技,修,75,32,43,2,2,1,6, -, -,1,3,17,20,2, -,4,6, -, -, -, -, -,1,1,2,1, -,1,2,3, -, -,技職
,,,二技,,8, -,8, -,1, -, -, -, -, -,3, -,3, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,技職
,,,二技,修,111,26,85,3,7,1,6, -, -,1,2,17,43, -, -,4,2, -, -, -, -, -, -,4,2,12, -,3, -,4, -, -,技職
,,,二專,修,16,9,7, -, -, -,1, -, -,3, -,6,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,技職
,,,五專,,92,19,73,3,1, -,9, -,2,5,21,4,8,7, -, -,4, -, -, -, -, -,1,10, -, -, -,2,2,13, -, -,技職
1065,吳鳳科技大學,嘉義縣,碩士,,5,3,2, -, -, -, -, -, -, -, -,2,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -,技職
,,,碩士,職,6,5,1,1, -, -, -, -, -, -, -,2,1, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,1, -, -, -,技職
,,,四技,,231,149,82,5,1,2,3,2, -,20,22,37,13,2, -, -,8, -, -, -, -, -,4,3,11,1,2, -,58,37, -, -,技職
,,,四技,修,135,99,36,1,2,6,6,14,4,13,10,55,12,1, -,1,7, -, -, -, -, -, -, -,3, -, -, -, -, -, -, -,技職
,,,二技,修,40,19,21, -, -, -, -,1, -,1,1,10,9, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,7,11, -, -,技職
,,,二專,修,26,14,12, -, -, -, -, -,2,1, -,3,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,10,5, -, -,技職
1066,環球科技大學,雲林縣,碩士,,29,14,15,3,2,6,2,1,6,1,1,2,3, -, -, -, -, -,1, -, -, -, -, -, -,1, -, -, -, -, -, -,技職
,,,碩士,職,12,3,9, -, -,1, -,2,8, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,149,80,69,5,10,18,20,15,15,26,21,10,1, -, -, -,4, -, -, -, -, -, -,1,2,1, -, -, -, -, -, -,技職
,,,四技,修,34,20,14, -,2, -,1, -, -, -, -,6,5, -, -, -,1, -, -, -, -, -,4,2, -, -, -, -,9,4, -, -,技職
,,,二技,修,8,4,4, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,2,3, -, -, -, -,1,1, -, -,技職
,,,二專,修,7,5,2, -, -, -, -, -, -, -, -,1,2, -, -, -,1, -, -, -, -, -,1, -, -, -, -, -,2, -, -, -,技職
1067,台灣首府大學,臺南市,碩士,,5,3,2, -, -, -, -,1, -, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -,2, -, -, -, -, -, -,一般
,,,學士,,20,9,11, -, -, -, -,1,1,3,1,5,8,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,進,10,5,5, -, -, -,1, -, -, -, -,4,2, -, -, -,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -,1,一般
1068,中州科技大學,彰化縣,碩士,,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,職,1, -,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,15,11,4, -, -, -,1,2,2,3, -,3,1, -, -, -,1, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -,技職
,,,四技,修,21,15,6,1,2,1,1, -,1,1,1,9,1, -, -, -, -, -, -, -, -, -, -, -,3, -, -, -, -, -, -, -,技職
,,,二技,修,6,4,2, -, -, -, -, -, -, -, -,3, -, -, -, -, -, -, -, -, -, -, -, -,1,2, -, -, -, -, -, -,技職
,,,二專,修,1, -,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1069,修平科技大學,臺中市,碩士,,6,4,2, -, -, -, -, -, -,2, -,1, -, -, -, -, -, -, -, -, -,2, -, -,1, -, -, -, -, -, -, -,技職
,,,碩士,職,2,2, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,115,82,33,2,8,6,2,6,1,20,5,32,6, -, -,2,1, -, -,2, -, -,2,2,10,3,2, -,1,2, -, -,技職
,,,四技,修,74,68,6,2,1,3, -,2, -,20,1,34,2, -, -, -,2, -, -, -, -, -,2, -,1,2, -, -,2, -, -, -,技職
,,,二技,修,38,22,16, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,22,16, -, -,技職
,,,二專,修,4,3,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,3,1, -, -,技職
1070,長庚科技大學,桃園市,碩士,,11, -,11, -,2, -,1, -, -, -,1, -,4, -, -,2, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,職,27, -,27, -,3, -, -, -, -, -, -, -,15, -, -,3, -, -, -, -, -,6, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,72,12,60,2,13, -,1, -,1,7,32,1,1, -, -, -, -, -, -,2, -, -,1,6, -, -, -,3,1,1, -, -,技職
,,,二技,,31,1,30, -,7, -,2, -, -, -,3,1,12,1, -, -, -, -, -, -, -, -, -,3, -,1, -,1, -, -, -, -,技職
,,,二技,修,58, -,58, -,6, -,1, -, -, -,3, -,32,3, -,4, -, -, -,1, -, -, -, -, -,3, -,2, -, -, -,3,技職
1071,臺北城市科技大學,臺北市,碩士,,25,19,6,1, -,1,1, -, -, -, -,11,4, -, -, -,1, -, -, -,4, -, -, -,1, -, -, -, -, -, -,1,技職
,,,四技,,406,250,156,9,6,30,26,3, -,4,4,60,44,1, -,1,54, -,4,2, -, -,7,4,18,19,13,11,1,2,47,36,技職
,,,四技,修,218,176,42, -, -,5, -,4,1,3,2,19,6, -, -, -,14, -,2, -, -, -, -, -,9,2, -, -,110,28,10,3,技職
,,,二技,修,106,61,45, -,1,1,2, -, -,1, -,10,9, -, -, -,4, -, -, -, -, -, -, -, -, -, -, -,44,29,1,4,技職
,,,二專,修,238,114,124,2,3, -,2,1,2, -,1,11,19,1, -, -,7, -, -, -, -, -,1, -, -,2, -, -,90,89,2,5,技職
,,,五專,,78,56,22,2,1,2,2,2,2,4,2,18,5, -, -, -,12, -,2, -, -, -,1,3,1,4, -, -,1, -,11,3,技職
1072,敏實科技大學,新竹縣,四技,,13,9,4,2,1,1,1, -,1,2, -,4,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,修,6,5,1, -, -,1, -, -, -, -, -,4,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,6,2,4, -, -, -, -, -, -, -,3,2,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1073,醒吾科技大學,新北市,碩士,,9,7,2, -, -, -, -, -, -, -, -,4,1, -,1, -, -, -, -, -, -, -, -, -,2,1, -, -, -, -, -, -,技職
,,,碩士,職,9,6,3, -,1,1, -, -, -, -, -,3, -, -, -,1, -, -,2,1, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,446,203,243,14,17,36,43,14,13,47,76,55,52,7, -, -,9, -,3,10, -, -,13,18,8,3,1,2, -, -,3,2,技職
,,,四技,修,148,68,80,3,1,3,5,31,25,9,11,14,32, -, -,2,5, -, -, -, -, -,1,4, -, -, -, -, -, -,2, -,技職
,,,二技,修,70,28,42,1,4,1,4,10,13, -,3,10,12,1,1, -,3, -,1,2, -, -,1,1, -, -, -,1, -, -, -,1,技職
,,,二專,修,85,47,38,2, -, -,2,23,18,7,1,14,11,1, -, -,1, -, -,1, -, -, -,1, -,1, -,1, -, -, -,1,技職
,,,五專,,38,19,19,1,2,1,1,3, -,8,8,4,3,1, -, -,1, -,1, -, -, -, -, -, -, -, -,4, -, -, -, -,技職
1075,文藻外語大學,高雄市,碩士,,77,17,60,2,7,1,5,1,3, -,4,6,15,2,1,1, -, -,1,5,2,11, -, -, -,2,1,5,2, -, -, -,技職
,,,碩士,職,15,2,13,1,1, -, -, -, -,1, -, -,7, -, -,1, -, -, -, -, -,1, -, -, -,2, -,1, -, -, -, -,技職
,,,四技,,278,111,167,8,24,4,12,35,50,21,23,22,35, -, -, -,5, -,4,7, -, -, -,2,3,5,5,1,4,6, -,2,技職
,,,四技,修,202,76,126,6,6,7,10,5,9,4,10,40,54,7,1,3,3, -,2,2, -, -, -,2,2,8,2,3,4,12, -, -,技職
,,,二技,,15,3,12, -,1, -, -,2,6, -,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -,1,1,1, -,1, -, -,技職
,,,二技,修,41,9,32, -,3, -, -, -,2, -, -,8,20,2, -,1, -, -,1, -, -, -, -, -, -, -, -,1, -,2, -,1,技職
,,,五專,,88,18,70,1,7,1, -,4,15,7,37,1,2, -, -,1, -, -,3,6, -, -, -, -, -, -, -,1,1,1, -, -,技職
1076,華夏科技大學,新北市,碩士,,16,13,3, -, -, -, -, -, -, -, -,3, -, -,1, -, -, -, -, -,2,2, -,1, -, -, -, -,7, -, -, -,技職
,,,碩士,職,10,6,4,1, -, -, -, -, -, -, -,2,1, -, -, -, -, -, -, -,1,1, -, -, -, -, -, -,2,2, -, -,技職
,,,四技,,172,97,75,4,2,9,6,1, -,13,15,6,17,4, -,1,20, -, -,1, -, -,3,2,1,3,2,1,35,21,3,2,技職
,,,四技,修,94,49,45,4,3,2,2, -,1,4,5,23,15, -, -,1,4, -, -, -, -, -, -,2, -,1, -, -,10,13,2,2,技職
,,,二技,,1,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,44,28,16,1,1, -, -, -, -,1,2,13,7,2, -,1,3, -, -, -, -, -,1, -,1,1, -, -,5,2,3, -,技職
,,,二專,修,33,16,17, -, -, -,1, -, -,1,1,1,4, -, -, -,2, -, -, -, -, -, -, -, -,1, -, -,12,9, -,1,技職
,,,五專,,59,49,10,2,1,1, -,4, -,16,3,8, -, -, -, -,3, -, -,2, -, -,2,1, -, -,1, -,8,3,4, -,技職
1077,慈濟科技大學,花蓮縣,碩士,,17,3,14, -,2, -, -, -, -, -, -,3,8,1, -,2, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,71,31,40,2,4,3,3,7,6,9,17,3,7, -,1,1,3, -, -, -, -, -, -, -,1, -,2,1, -, -, -,1,技職
,,,四技,修,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,技職
,,,二技,,3, -,3, -, -, -, -, -, -, -,1, -,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,34,5,29, -,2, -, -, -, -, -,2,3,16, -, -,1, -, -, -, -, -, -,1,1,1,6, -, -, -, -, -,1,技職
,,,五專,,59,15,44,1,7,2, -,7,6,5,24, -,3, -, -,2, -, -, -, -, -, -, -, -, -,2, -, -, -, -, -, -,技職
1078,致理科技大學,新北市,碩士,,10,3,7, -, -, -,2, -, -, -, -,2,1, -, -, -, -, -, -, -,1,2, -, -, -,2, -, -, -, -, -, -,技職
,,,碩士,職,11,3,8, -, -, -, -, -, -, -, -,2,4, -, -, -, -, -, -, -,1,2, -, -, -,2, -, -, -, -, -, -,技職
,,,四技,,194,76,118,3,6,3,7,13,22,22,28,16,26,1, -,3,5,1,3,4, -, -,6,6,3,6,1,8, -, -,1, -,技職
,,,四技,修,280,132,148,2,12,11,11,12,7,21,20,70,69,4, -,16,9, -, -,1, -, -,4,3,1,5,1, -, -, -,1, -,技職
,,,二技,,5,1,4, -, -, -, -, -, -,1,1, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -,技職
,,,五專,,86,19,67,3,5, -,1,4,14,9,36,1,6, -, -, -,1, -,1,3, -, -, -,2, -, -, -, -, -, -, -, -,技職
1079,康寧大學,臺北市,碩士,,10,4,6,1, -, -, -,2,1, -, -,1,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,職,11,2,9, -, -, -, -, -, -, -, -,2,6, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,2, -, -,一般
,,,學士,,12,4,8, -,1, -, -, -,1,1,3,1,1, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,2,1, -, -,一般
,,,學士,進,1,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,二技,修,17, -,17, -,5, -,1, -, -, -, -, -,7,1, -, -, -, -, -, -, -, -, -, -, -,2, -, -, -,1, -, -,技職
,,,二專,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,8,4,4, -,2, -, -, -, -, -, -,4,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,131,41,90,4,10,1,1,4,4,10,32,1,6, -, -,2,3, -,3,2, -, -,5,6, -,1,5,3,1,14,4,9,技職
1080,宏國德霖科技大學,新北市,碩士,,2,1,1, -, -, -, -, -, -, -, -,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,94,64,30,7,3,12,6,5,3,13,8,13,5,3, -, -,10, -, -, -, -, -, -, -, -,1,3,1,1, -, -, -,技職
,,,四技,修,45,28,17,3,1,3, -,2, -, -, -,16,11, -, -, -,3, -,1, -, -, -, -, -, -,5, -, -, -, -, -, -,技職
,,,二技,修,20,10,10, -,3, -, -, -, -, -, -,8,5,1, -, -, -, -, -, -, -, -, -, -,1,1, -, -,1, -, -, -,技職
,,,五專,,49,32,17,3,2,2, -,9,7,5,3,5,1, -, -, -,8, -, -, -, -, -, -,1, -,3, -, -, -, -, -, -,技職
1081,東方設計大學,高雄市,碩士,,32,20,12, -, -, -, -, -, -, -, -,4,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,16,11, -, -,技職
,,,碩士,職,8, -,8, -,1, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,6, -, -,技職
,,,四技,,96,63,33,3,3,3, -, -, -, -, -,4,4, -, -, -,3, -, -, -, -, -, -, -, -, -, -, -,44,21,6,5,技職
,,,四技,修,13,5,8, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,3,8,1, -,技職
,,,二技,,6, -,6, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,4, -,2,技職
,,,二技,修,28,14,14, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,14,14, -, -,技職
,,,二專,修,65,33,32, -, -, -, -, -, -, -, -,2,1, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,30,31, -, -,技職
,,,五專,,74,39,35, -,3, -, -, -, -,1,1,3,1, -, -, -,1, -,1, -, -, -, -, -, -, -,1,1,23,26,9,3,技職
1082,崇右影藝科技大學,基隆市,碩士,,3,1,2, -, -, -,1, -, -, -, -,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,59,21,38,2,5,3,11,3,2,1,6,7,9,2, -,2,5, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -,技職
,,,二技,修,1,1, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,1, -,1, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1083,台北海洋科技大學,新北市,碩士,,33,26,7, -,1, -, -, -, -,1, -,18,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,6,1,1, -,技職
,,,四技,,206,132,74,4,6,19,14, -, -,31,20,38,17, -, -, -,12, -,1, -, -, -, -, -, -, -, -, -,25,13,2,4,技職
,,,四技,修,23,13,10, -,3,3,2, -, -,2,1,5,2,2, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,技職
,,,二技,,17,16,1,1, -,2, -, -, -,1,1,3, -, -, -, -,4, -, -, -, -, -, -, -, -, -, -, -,5, -, -, -,技職
,,,二技,修,30,12,18, -, -,1,6, -, -,1,1,8,9,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1,技職
,,,二專,,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2, -, -, -,技職
,,,二專,修,12,9,3, -, -,3,3, -, -, -, -,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,技職
,,,五專,,84,57,27,2,1,10,5, -, -,14,9,16,6, -, -,1,7, -, -, -, -, -, -, -, -, -, -, -,8,5, -, -,技職
1084,亞東科技大學,新北市,碩士,,10,4,6, -,1,1,1, -, -, -, -,3,4, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,198,148,50,7,6,25,7,18,7,21,4,54,13,1, -, -,5, -,2,1, -, -,12,11,1, -,2, -, -, -,1, -,技職
,,,二技,,5,1,4, -,1, -,2, -, -,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,7, -,7, -,1, -,1, -, -, -, -, -,3, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1125,中信金融管理學院,臺南市,碩士,,11,5,6, -, -, -, -, -, -, -, -,4,5, -, -, -,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,一般
,,,碩士,職,6,3,3, -, -, -, -, -, -, -, -,3,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,,6,5,1, -, -, -, -, -, -,5, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
1148,大漢技術學院,花蓮縣,碩士,,36,27,9,1, -,1, -, -, -, -, -,10,6, -, -, -, -, -, -, -,14,2, -,1,1, -, -, -, -, -, -, -,技職
,,,四技,,31,21,10,1,1,3,1,4,7,6,1,2, -, -, -, -,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,修,33,18,15, -,1, -,1,1, -,1,1,12,8,1, -, -,4, -, -, -, -, -, -,1, -,2, -, -, -, -, -, -,技職
,,,二技,修,27,16,11, -,1, -, -, -, -, -, -,11,7, -,1,1,2, -,1, -, -, -,1, -, -,1, -,1, -, -, -, -,技職
,,,二專,修,19,9,10, -, -, -, -, -, -,1,1,7,6,1, -, -, -, -, -, -, -, -, -, -,1,1, -, -, -, -, -,1,技職
