,學校,地區,等級,間/進,總計,,,因傷病,,因經濟困難,,因學業成績不佳,,因志趣不合,,因工作需求,,因懷孕,因育嬰,,因兵役,,因出國,,因論文撰寫,,因適應不良,,因家人傷病,,因考試訓練,,因逾期未註冊、繳費、選課,,其他,,
,,,四技,修,27,22,5,2,1,2,1,4, -,3,2,6, -, -, -, -,2, -,1, -, -, -,1, -, -,1,1, -, -, -, -, -,技職
,,,二技,,4,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2,2, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -,技職
28,國立臺北藝術大學,臺北市,博士,,52,18,34, -,2,1,4, -, -, -, -,4,4,3,2,2,1, -, -,3,5,8, -, -,1,1, -, -, -, -,4,7,一般
,,,碩士,,339,133,206,4,7,17,14,1,2,3,3,23,38,4,3,10,5, -,10,10,51,91, -,1,3,9,2,2, -,1,11,14,一般
,,,碩士,職,40,7,33,2,1, -,1, -,1, -,1,2,8,2,1,6, -, -, -,1,2,9, -, -, -,3, -, -, -, -, -, -,一般
,,,學士,,92,34,58,4,9,3,6,1,3,5,2,5,2, -,1, -,2, -,8,14,2,4,1,2, -,3,1,6, -, -,1,7,一般
,,,七年,,2, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -,一般
29,國立臺灣藝術大學,新北市,博士,,28,15,13,1, -, -, -, -,2, -, -,6,3, -,1,3, -, -, -, -,4,4, -, -, -, -, -, -, -, -,3,1,一般
,,,碩士,,174,66,108,1,4,5,1,7,11, -,1,12,24,1,5,3,3, -,5,7,18,33,1,1, -,1, -,2,1,1,8,18,一般
,,,碩士,職,84,30,54,1,1,1,2,2,5, -, -,8,22,2,1,5,2, -,1, -,9,8, -, -,1,2, -, -, -,1,4,6,一般
,,,學士,,89,25,64,2,5,2,1,1,4,3,5,3,6, -, -, -, -, -,1,15, -, -,2,7, -, -,4,5,1,3,6,13,一般
,,,學士,進,84,28,56,2,8, -,5, -, -,4,7,6,15, -,1,1,1, -,2,5, -,1,5,3, -, -,1,1, -,5,6,5,一般
